dataset,model,hyper,metric,value,fold,path,ts
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.005)]",rmse,1.0618364675430776,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.005/Rating_fold_-1.parquet,2019-12-16 00:25:58.004579
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",ndcg@10,0.02261217428139176,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:36:28.495041
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",precision@10,0.0051109136215519175,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:36:28.495613
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",rmse,6.726491041166566,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_4/Rating_fold_-1.parquet,2019-12-16 00:36:28.508433
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",ndcg@10,0.04797065741382538,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 00:37:14.828264
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",precision@10,0.008951582689308471,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 00:37:14.829106
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",rmse,0.987539802318918,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.001-regularization_0.001/Rating_fold_-1.parquet,2019-12-16 00:37:14.841032
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.001)]",ndcg@10,0.010638777398659822,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.0001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 00:48:42.552387
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.001)]",precision@10,0.002442212018506095,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.0001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 00:48:42.552845
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.001)]",rmse,0.9984283867645081,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.0001-regularization_0.001/Rating_fold_-1.parquet,2019-12-16 00:48:42.562336
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",ndcg@10,0.02563824640840478,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:54:36.622655
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",precision@10,0.0057905100458291925,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:54:36.623225
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",rmse,5.996028419271683,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_4/Rating_fold_-1.parquet,2019-12-16 00:54:36.634503
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@10,0.16397316854629693,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.005-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 01:00:03.943276
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",precision@10,0.03001228511932249,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.005-regularization_0.001/Ranking_fold_-1.parquet,2019-12-16 01:00:03.943752
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",rmse,1.249262050051382,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.005-regularization_0.001/Rating_fold_-1.parquet,2019-12-16 01:00:03.956860
user_10_item_1_exp,BPR,"[('factors', 8), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.01)]",ndcg@10,0.0266588155447453,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_8-iteration_100-learning_rate_0.001-regularization_0.01/Ranking_fold_-1.parquet,2019-12-16 01:11:35.597474
